Iteration	Mu	Sigma	Accept
0	8.152594e-02	4.453980e-03	true
1	8.152594e-02	4.453980e-03	false
2	8.152594e-02	4.453980e-03	false
3	8.152594e-02	4.453980e-03	false
4	8.152594e-02	4.453980e-03	false
5	8.152594e-02	4.453980e-03	false
6	8.152594e-02	4.453980e-03	false
7	8.152594e-02	4.453980e-03	false
8	8.152594e-02	4.453980e-03	false
9	8.152594e-02	4.453980e-03	false
10	8.152594e-02	4.453980e-03	false
11	8.152594e-02	4.453980e-03	false
12	8.152594e-02	4.453980e-03	false
13	8.152594e-02	4.453980e-03	false
14	8.152594e-02	4.453980e-03	false
15	8.152594e-02	4.453980e-03	false
16	1.034569e-01	2.149470e-02	true
17	-4.594950e-03	3.053075e-02	true
18	-4.285745e-02	3.555334e-02	true
19	-4.667422e-01	3.315336e-02	true
20	-5.835452e-01	2.684334e-02	true
21	-8.234962e-01	4.126347e-02	true
22	-8.234962e-01	4.126347e-02	false
23	-8.234962e-01	4.126347e-02	false
24	-8.234962e-01	4.126347e-02	false
25	-9.666664e-01	5.473398e-02	true
26	-9.264246e-01	5.790151e-02	true
27	-9.711565e-01	5.434340e-02	true
28	-1.044761e+00	7.329118e-02	true
29	-8.611070e-01	7.702933e-02	true
30	-1.046778e+00	7.939434e-02	true
31	-1.036981e+00	7.630636e-02	true
32	-1.071318e+00	7.947394e-02	true
33	-1.032423e+00	8.318106e-02	true
34	-1.032423e+00	8.318106e-02	false
35	-1.151809e+00	6.513693e-02	true
36	-1.259909e+00	5.773747e-02	true
37	-1.259909e+00	5.773747e-02	false
38	-1.224300e+00	5.590770e-02	true
39	-1.348153e+00	4.544176e-02	true
40	-1.324313e+00	3.975550e-02	true
41	-1.324313e+00	3.975550e-02	false
42	-1.387371e+00	4.301006e-02	true
43	-1.335837e+00	5.319348e-02	true
44	-1.243741e+00	5.574499e-02	true
45	-1.243741e+00	5.574499e-02	false
46	-1.215217e+00	5.219188e-02	true
47	-1.359237e+00	5.788312e-02	true
48	-1.352515e+00	3.920189e-02	true
49	-1.563307e+00	5.018651e-02	true
50	-1.258255e+00	5.290735e-02	true
51	-1.439620e+00	6.006794e-02	true
52	-1.439620e+00	6.006794e-02	false
53	-1.439620e+00	6.006794e-02	false
54	-1.303944e+00	6.311309e-02	true
55	-1.303944e+00	6.311309e-02	false
56	-1.303370e+00	8.207854e-02	true
57	-1.515629e+00	8.638608e-02	true
58	-1.515629e+00	8.638608e-02	false
59	-1.515629e+00	8.638608e-02	false
60	-1.591532e+00	8.144855e-02	true
61	-1.305627e+00	8.338784e-02	true
62	-1.136617e+00	8.948427e-02	true
63	-1.122336e+00	7.965615e-02	true
64	-1.005391e+00	8.160324e-02	true
65	-1.287449e+00	8.242268e-02	true
66	-9.938901e-01	8.988873e-02	true
67	-1.028442e+00	8.174005e-02	true
68	-9.986071e-01	9.079740e-02	true
69	-8.597003e-01	9.378777e-02	true
70	-1.135968e+00	9.427265e-02	true
71	-1.135968e+00	9.427265e-02	false
72	-1.244215e+00	8.471222e-02	true
73	-1.244215e+00	8.471222e-02	false
74	-1.373398e+00	9.789003e-02	true
75	-1.373398e+00	9.789003e-02	false
76	-1.373398e+00	9.789003e-02	false
77	-1.235460e+00	9.783947e-02	true
78	-1.436963e+00	8.178237e-02	true
79	-1.257805e+00	7.869520e-02	true
80	-1.347295e+00	5.848762e-02	true
81	-1.481149e+00	5.622485e-02	true
82	-1.704154e+00	6.901198e-02	true
83	-1.707161e+00	5.992238e-02	true
84	-1.616516e+00	7.337847e-02	true
85	-1.640221e+00	7.275146e-02	true
86	-1.640221e+00	7.275146e-02	false
87	-1.640221e+00	7.275146e-02	false
88	-1.422562e+00	6.629657e-02	true
89	-1.335775e+00	6.995572e-02	true
90	-1.291784e+00	7.597308e-02	true
91	-1.405917e+00	6.886237e-02	true
92	-1.405917e+00	6.886237e-02	false
93	-1.483161e+00	6.626508e-02	true
94	-1.483161e+00	6.626508e-02	false
95	-1.488880e+00	4.744303e-02	true
96	-1.467749e+00	6.393582e-02	true
97	-1.617711e+00	7.082083e-02	true
98	-1.793683e+00	6.674734e-02	true
99	-1.793683e+00	6.674734e-02	false
