Term	Name	Enrichment
GO:0009950	dorsal/ventral axis specification	0.000000e+00
GO:0060039	pericardium development	0.000000e+00
GO:0014916	regulation of lung blood pressure	0.000000e+00
GO:0071773	cellular response to BMP stimulus	0.000000e+00
GO:0016310	phosphorylation	0.000000e+00
GO:0090090	negative regulation of canonical Wnt signaling pathway	0.000000e+00
GO:0035360	positive regulation of peroxisome proliferator activated receptor signaling pathway	0.000000e+00
GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	0.000000e+00
GO:0042127	regulation of cell population proliferation	0.000000e+00
GO:0021978	telencephalon regionalization	0.000000e+00
GO:0010159	specification of animal organ position	0.000000e+00
GO:0060395	SMAD protein signal transduction	0.000000e+00
GO:0060348	bone development	0.000000e+00
GO:0003222	ventricular trabecula myocardium morphogenesis	0.000000e+00
GO:1905770	regulation of mesodermal cell differentiation	0.000000e+00
GO:0048378	regulation of lateral mesodermal cell fate specification	0.000000e+00
GO:0001936	regulation of endothelial cell proliferation	0.000000e+00
GO:0003203	endocardial cushion morphogenesis	0.000000e+00
GO:0005737	cytoplasm	0.000000e+00
GO:2000860	positive regulation of aldosterone secretion	0.000000e+00
GO:0016324	apical plasma membrane	0.000000e+00
GO:0042733	embryonic digit morphogenesis	0.000000e+00
GO:0036122	BMP binding	0.000000e+00
GO:0001502	cartilage condensation	0.000000e+00
GO:0060686	negative regulation of prostatic bud formation	0.000000e+00
GO:0003183	mitral valve morphogenesis	0.000000e+00
GO:0010629	negative regulation of gene expression	0.000000e+00
GO:0006508	proteolysis	0.000000e+00
GO:0010665	regulation of cardiac muscle cell apoptotic process	0.000000e+00
GO:0060426	lung vasculature development	0.000000e+00
GO:0071363	cellular response to growth factor stimulus	0.000000e+00
GO:0060391	positive regulation of SMAD protein signal transduction	0.000000e+00
GO:0008201	heparin binding	0.000000e+00
GO:0030218	erythrocyte differentiation	0.000000e+00
GO:0046982	protein heterodimerization activity	0.000000e+00
GO:0061036	positive regulation of cartilage development	0.000000e+00
GO:0060836	lymphatic endothelial cell differentiation	0.000000e+00
GO:0005654	nucleoplasm	0.000000e+00
GO:0009948	anterior/posterior axis specification	0.000000e+00
GO:0005025	transforming growth factor beta receptor activity, type I	0.000000e+00
GO:0014032	neural crest cell development	0.000000e+00
GO:0001701	in utero embryonic development	0.000000e+00
GO:0045747	positive regulation of Notch signaling pathway	0.000000e+00
GO:0045595	regulation of cell differentiation	0.000000e+00
GO:0007398	ectoderm development	0.000000e+00
GO:0003272	endocardial cushion formation	0.000000e+00
GO:2000369	regulation of clathrin-dependent endocytosis	0.000000e+00
GO:0045746	negative regulation of Notch signaling pathway	0.000000e+00
GO:0004674	protein serine/threonine kinase activity	0.000000e+00
GO:1990782	protein tyrosine kinase binding	0.000000e+00
GO:0048382	mesendoderm development	0.000000e+00
GO:0055010	ventricular cardiac muscle tissue morphogenesis	0.000000e+00
GO:0043539	protein serine/threonine kinase activator activity	0.000000e+00
GO:1901145	mesenchymal cell apoptotic process involved in nephron morphogenesis	0.000000e+00
GO:0030858	positive regulation of epithelial cell differentiation	0.000000e+00
GO:0072104	glomerular capillary formation	0.000000e+00
GO:0030224	monocyte differentiation	0.000000e+00
GO:0019211	phosphatase activator activity	0.000000e+00
GO:0035612	AP-2 adaptor complex binding	0.000000e+00
GO:1905314	semi-lunar valve development	0.000000e+00
GO:0031648	protein destabilization	0.000000e+00
GO:0043410	positive regulation of MAPK cascade	0.000000e+00
GO:0003210	cardiac atrium formation	0.000000e+00
GO:0005509	calcium ion binding	0.000000e+00
GO:0042487	regulation of odontogenesis of dentin-containing tooth	0.000000e+00
GO:0060586	multicellular organismal-level iron ion homeostasis	0.000000e+00
GO:0001657	ureteric bud development	0.000000e+00
GO:0045669	positive regulation of osteoblast differentiation	0.000000e+00
GO:0007389	pattern specification process	0.000000e+00
GO:0007500	mesodermal cell fate determination	0.000000e+00
GO:0008083	growth factor activity	0.000000e+00
GO:0002244	hematopoietic progenitor cell differentiation	0.000000e+00
GO:0061298	retina vasculature development in camera-type eye	0.000000e+00
GO:0003186	tricuspid valve morphogenesis	0.000000e+00
GO:0060841	venous blood vessel development	0.000000e+00
GO:0060442	branching involved in prostate gland morphogenesis	0.000000e+00
GO:0009791	post-embryonic development	0.000000e+00
GO:0051150	regulation of smooth muscle cell differentiation	0.000000e+00
GO:0048598	embryonic morphogenesis	0.000000e+00
GO:0019838	growth factor binding	0.000000e+00
GO:1905072	cardiac jelly development	0.000000e+00
GO:0060038	cardiac muscle cell proliferation	0.000000e+00
GO:0045843	negative regulation of striated muscle tissue development	0.000000e+00
GO:1901331	positive regulation of odontoblast differentiation	0.000000e+00
GO:0004222	metalloendopeptidase activity	0.000000e+00
GO:0042803	protein homodimerization activity	0.000000e+00
GO:0051145	smooth muscle cell differentiation	0.000000e+00
GO:0003323	type B pancreatic cell development	0.000000e+00
GO:0006955	immune response	0.000000e+00
GO:0050673	epithelial cell proliferation	0.000000e+00
GO:0060449	bud elongation involved in lung branching	0.000000e+00
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	0.000000e+00
GO:0070244	negative regulation of thymocyte apoptotic process	0.000000e+00
GO:0010634	positive regulation of epithelial cell migration	0.000000e+00
GO:0045666	positive regulation of neuron differentiation	0.000000e+00
GO:0005576	extracellular region	0.000000e+00
GO:0035019	somatic stem cell population maintenance	0.000000e+00
GO:0055007	cardiac muscle cell differentiation	0.000000e+00
GO:0021983	pituitary gland development	0.000000e+00
GO:0009617	response to bacterium	0.000000e+00
GO:0042475	odontogenesis of dentin-containing tooth	0.000000e+00
GO:0060687	regulation of branching involved in prostate gland morphogenesis	0.000000e+00
GO:0021998	neural plate mediolateral regionalization	0.000000e+00
GO:0098821	BMP receptor activity	0.000000e+00
GO:0007492	endoderm development	0.000000e+00
GO:1900106	positive regulation of hyaluranon cable assembly	0.000000e+00
GO:0010467	gene expression	0.000000e+00
GO:1905292	regulation of neural crest cell differentiation	0.000000e+00
GO:0030282	bone mineralization	0.000000e+00
GO:0003149	membranous septum morphogenesis	0.000000e+00
GO:0044297	cell body	0.000000e+00
GO:0039706	co-receptor binding	0.000000e+00
GO:1902895	positive regulation of miRNA transcription	0.000000e+00
GO:0060298	positive regulation of sarcomere organization	0.000000e+00
GO:0045786	negative regulation of cell cycle	0.000000e+00
GO:0001759	organ induction	0.000000e+00
GO:0090194	negative regulation of glomerulus development	0.000000e+00
GO:0001550	ovarian cumulus expansion	0.000000e+00
GO:0048392	intermediate mesodermal cell differentiation	0.000000e+00
GO:0060592	mammary gland formation	0.000000e+00
GO:0003007	heart morphogenesis	0.000000e+00
GO:0061035	regulation of cartilage development	0.000000e+00
GO:0001893	maternal placenta development	0.000000e+00
GO:0048812	neuron projection morphogenesis	0.000000e+00
GO:0048368	lateral mesoderm development	0.000000e+00
GO:0045778	positive regulation of ossification	0.000000e+00
GO:0033612	receptor serine/threonine kinase binding	0.000000e+00
GO:0031982	vesicle	0.000000e+00
GO:0045599	negative regulation of fat cell differentiation	0.000000e+00
GO:0001501	skeletal system development	0.000000e+00
GO:0000166	nucleotide binding	0.000000e+00
GO:0045165	cell fate commitment	0.000000e+00
GO:0003171	atrioventricular valve development	0.000000e+00
GO:0021953	central nervous system neuron differentiation	0.000000e+00
GO:0001756	somitogenesis	0.000000e+00
GO:0030539	male genitalia development	0.000000e+00
GO:0002062	chondrocyte differentiation	0.000000e+00
GO:0060347	heart trabecula formation	0.000000e+00
GO:0005905	clathrin-coated pit	0.000000e+00
GO:0050768	negative regulation of neurogenesis	0.000000e+00
GO:0072133	metanephric mesenchyme morphogenesis	0.000000e+00
GO:0042056	chemoattractant activity	0.000000e+00
GO:0035051	cardiocyte differentiation	0.000000e+00
GO:0048568	embryonic organ development	0.000000e+00
GO:0060684	epithelial-mesenchymal cell signaling	0.000000e+00
GO:0016362	activin receptor activity, type II	0.000000e+00
GO:0043235	receptor complex	0.000000e+00
GO:0048701	embryonic cranial skeleton morphogenesis	0.000000e+00
GO:0048762	mesenchymal cell differentiation	0.000000e+00
GO:0060235	lens induction in camera-type eye	0.000000e+00
GO:0072138	mesenchymal cell proliferation involved in ureteric bud development	0.000000e+00
GO:0060502	epithelial cell proliferation involved in lung morphogenesis	0.000000e+00
GO:0048589	developmental growth	0.000000e+00
GO:0042491	inner ear auditory receptor cell differentiation	0.000000e+00
GO:0048333	mesodermal cell differentiation	0.000000e+00
GO:0035990	tendon cell differentiation	0.000000e+00
GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis	0.000000e+00
GO:0021502	neural fold elevation formation	0.000000e+00
GO:0003184	pulmonary valve morphogenesis	0.000000e+00
GO:0032349	positive regulation of aldosterone biosynthetic process	0.000000e+00
GO:0060317	cardiac epithelial to mesenchymal transition	0.000000e+00
GO:0010718	positive regulation of epithelial to mesenchymal transition	0.000000e+00
GO:0010628	positive regulation of gene expression	0.000000e+00
GO:1900159	positive regulation of bone mineralization involved in bone maturation	0.000000e+00
GO:0045662	negative regulation of myoblast differentiation	0.000000e+00
GO:0008233	peptidase activity	0.000000e+00
GO:0003331	positive regulation of extracellular matrix constituent secretion	0.000000e+00
GO:0046332	SMAD binding	0.000000e+00
GO:0060413	atrial septum morphogenesis	0.000000e+00
GO:0001649	osteoblast differentiation	0.000000e+00
GO:0030900	forebrain development	0.000000e+00
GO:0043010	camera-type eye development	0.000000e+00
GO:0003129	heart induction	0.000000e+00
GO:0000122	negative regulation of transcription by RNA polymerase II	0.000000e+00
GO:0060976	coronary vasculature development	0.000000e+00
GO:0048596	embryonic camera-type eye morphogenesis	0.000000e+00
GO:1903392	negative regulation of adherens junction organization	0.000000e+00
GO:0016787	hydrolase activity	0.000000e+00
GO:0001880	Mullerian duct regression	0.000000e+00
GO:0003344	pericardium morphogenesis	0.000000e+00
GO:0002053	positive regulation of mesenchymal cell proliferation	0.000000e+00
GO:2000005	negative regulation of metanephric S-shaped body morphogenesis	0.000000e+00
GO:0042802	identical protein binding	0.000000e+00
GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	0.000000e+00
GO:0030326	embryonic limb morphogenesis	0.000000e+00
GO:0070487	monocyte aggregation	0.000000e+00
GO:0003197	endocardial cushion development	0.000000e+00
GO:0060425	lung morphogenesis	0.000000e+00
GO:0060043	regulation of cardiac muscle cell proliferation	0.000000e+00
GO:0042118	endothelial cell activation	0.000000e+00
GO:0030018	Z disc	0.000000e+00
GO:0001934	positive regulation of protein phosphorylation	0.000000e+00
GO:0009887	animal organ morphogenesis	0.000000e+00
GO:2000138	positive regulation of cell proliferation involved in heart morphogenesis	0.000000e+00
GO:2000772	regulation of cellular senescence	0.000000e+00
GO:0001707	mesoderm formation	0.000000e+00
GO:0007275	multicellular organism development	0.000000e+00
GO:0001658	branching involved in ureteric bud morphogenesis	0.000000e+00
GO:0030513	positive regulation of BMP signaling pathway	0.000000e+00
GO:0030500	regulation of bone mineralization	0.000000e+00
GO:1905312	positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis	0.000000e+00
GO:0007435	salivary gland morphogenesis	0.000000e+00
GO:0012501	programmed cell death	0.000000e+00
GO:0010613	positive regulation of cardiac muscle hypertrophy	0.000000e+00
GO:0007219	Notch signaling pathway	0.000000e+00
GO:0001503	ossification	0.000000e+00
GO:0061626	pharyngeal arch artery morphogenesis	0.000000e+00
GO:0042325	regulation of phosphorylation	0.000000e+00
GO:0060688	regulation of morphogenesis of a branching structure	0.000000e+00
GO:0060438	trachea development	0.000000e+00
GO:0097065	anterior head development	0.000000e+00
GO:0009790	embryo development	0.000000e+00
GO:0005179	hormone activity	0.000000e+00
GO:0030336	negative regulation of cell migration	0.000000e+00
GO:0045839	negative regulation of mitotic nuclear division	0.000000e+00
GO:0003133	endodermal-mesodermal cell signaling	0.000000e+00
GO:0048842	positive regulation of axon extension involved in axon guidance	0.000000e+00
GO:0030225	macrophage differentiation	0.000000e+00
GO:0045893	positive regulation of DNA-templated transcription	0.000000e+00
GO:0048352	paraxial mesoderm structural organization	0.000000e+00
GO:0045892	negative regulation of DNA-templated transcription	0.000000e+00
GO:0008285	negative regulation of cell population proliferation	0.000000e+00
GO:0048663	neuron fate commitment	0.000000e+00
GO:0060710	chorio-allantoic fusion	0.000000e+00
GO:0050769	positive regulation of neurogenesis	0.000000e+00
GO:0048745	smooth muscle tissue development	0.000000e+00
GO:0043065	positive regulation of apoptotic process	0.000000e+00
GO:0060440	trachea formation	0.000000e+00
GO:0048660	regulation of smooth muscle cell proliferation	0.000000e+00
GO:0033690	positive regulation of osteoblast proliferation	0.000000e+00
GO:0043231	intracellular membrane-bounded organelle	0.000000e+00
GO:0021904	dorsal/ventral neural tube patterning	0.000000e+00
GO:0016740	transferase activity	0.000000e+00
GO:0001935	endothelial cell proliferation	0.000000e+00
GO:1900006	positive regulation of dendrite development	0.000000e+00
GO:0005901	caveola	0.000000e+00
GO:1902462	positive regulation of mesenchymal stem cell proliferation	0.000000e+00
GO:0003014	renal system process	0.000000e+00
GO:0048662	negative regulation of smooth muscle cell proliferation	0.000000e+00
GO:0007281	germ cell development	0.000000e+00
GO:0048856	anatomical structure development	0.000000e+00
GO:0060363	cranial suture morphogenesis	0.000000e+00
GO:0001822	kidney development	0.000000e+00
GO:0033085	negative regulation of T cell differentiation in thymus	0.000000e+00
GO:0048711	positive regulation of astrocyte differentiation	0.000000e+00
GO:0009880	embryonic pattern specification	0.000000e+00
GO:0045665	negative regulation of neuron differentiation	0.000000e+00
GO:0060173	limb development	0.000000e+00
GO:0072040	negative regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis	0.000000e+00
GO:0010894	negative regulation of steroid biosynthetic process	0.000000e+00
GO:2000353	positive regulation of endothelial cell apoptotic process	0.000000e+00
GO:0070374	positive regulation of ERK1 and ERK2 cascade	0.000000e+00
GO:0030308	negative regulation of cell growth	0.000000e+00
GO:0010524	positive regulation of calcium ion transport into cytosol	0.000000e+00
GO:2000048	negative regulation of cell-cell adhesion mediated by cadherin	0.000000e+00
GO:0051042	negative regulation of calcium-independent cell-cell adhesion	0.000000e+00
GO:0072577	endothelial cell apoptotic process	0.000000e+00
GO:0005886	plasma membrane	0.000000e+00
GO:0048286	lung alveolus development	0.000000e+00
GO:0009952	anterior/posterior pattern specification	0.000000e+00
GO:0006366	transcription by RNA polymerase II	0.000000e+00
