X	f(X)
0.001000	2000.001000
0.010980	182.150362
0.020960	95.420847
0.030940	64.642241
0.040920	48.876855
0.050900	39.293731
0.060880	32.852511
0.070860	28.225668
0.080840	24.741227
0.090820	22.022581
0.100800	19.842270
0.110780	18.054800
0.120760	16.562775
0.130740	15.298537
0.140720	14.213621
0.150700	13.272400
0.160680	12.448100
0.170660	11.720208
0.180640	11.072745
0.190620	10.493078
0.200600	9.971090
0.210580	9.498578
0.220560	9.068827
0.230540	8.676284
0.240520	8.316317
0.250500	7.985032
0.260480	7.679133
0.270460	7.395809
0.280440	7.132650
0.290420	6.887578
0.300400	6.658790
0.310380	6.444714
0.320360	6.243977
0.330340	6.055368
0.340320	5.877822
0.350300	5.710392
0.360280	5.552238
0.370260	5.402610
0.380240	5.260836
0.390220	5.126314
0.400200	4.998501
0.410180	4.876908
0.420160	4.761091
0.430140	4.650649
0.440120	4.545215
0.450100	4.444457
0.460080	4.348070
0.470060	4.255776
0.480040	4.167319
0.490020	4.082466
0.500000	4.001000
0.509980	3.922722
0.519960	3.847450
0.529940	3.775012
0.539920	3.705252
0.549900	3.638025
0.559880	3.573194
0.569860	3.510634
0.579840	3.450227
0.589820	3.391865
0.599800	3.335445
0.609780	3.280871
0.619760	3.228056
0.629740	3.176914
0.639720	3.127368
0.649700	3.079344
0.659680	3.032773
0.669660	2.987590
0.679640	2.943734
0.689620	2.901148
0.699600	2.859777
0.709580	2.819569
0.719560	2.780476
0.729540	2.742454
0.739520	2.705457
0.749500	2.669446
0.759480	2.634381
0.769460	2.600226
0.779440	2.566945
0.789420	2.534506
0.799400	2.502877
0.809380	2.472027
0.819360	2.441930
0.829340	2.412556
0.839320	2.383881
0.849300	2.355881
0.859280	2.328530
0.869260	2.301808
0.879240	2.275692
0.889220	2.250162
0.899200	2.225199
0.909180	2.200785
0.919160	2.176900
0.929140	2.153528
0.939120	2.130653
0.949100	2.108260
0.959080	2.086332
0.969060	2.064856
0.979040	2.043818
0.989020	2.023204
