X	f(X)
0.001000	10.070879
0.010980	3.054544
0.020960	2.222052
0.030940	1.838293
0.040920	1.606774
0.050900	1.448222
0.060880	1.331227
0.070860	1.240535
0.080840	1.167727
0.090820	1.107731
0.100800	1.057284
0.110780	1.014180
0.120760	0.976866
0.130740	0.944215
0.140720	0.915387
0.150700	0.889740
0.160680	0.866773
0.170660	0.846093
0.180640	0.827381
0.190620	0.810382
0.200600	0.794882
0.210580	0.780706
0.220560	0.767707
0.230540	0.755760
0.240520	0.744760
0.250500	0.734616
0.260480	0.725250
0.270460	0.716595
0.280440	0.708593
0.290420	0.701191
0.300400	0.694345
0.310380	0.688016
0.320360	0.682168
0.330340	0.676772
0.340320	0.671800
0.350300	0.667227
0.360280	0.663033
0.370260	0.659198
0.380240	0.655706
0.390220	0.652542
0.400200	0.649693
0.410180	0.647147
0.420160	0.644895
0.430140	0.642926
0.440120	0.641235
0.450100	0.639814
0.460080	0.638659
0.470060	0.637764
0.480040	0.637128
0.490020	0.636747
0.500000	0.636620
0.509980	0.636747
0.519960	0.637128
0.529940	0.637764
0.539920	0.638659
0.549900	0.639814
0.559880	0.641235
0.569860	0.642926
0.579840	0.644895
0.589820	0.647147
0.599800	0.649693
0.609780	0.652542
0.619760	0.655706
0.629740	0.659198
0.639720	0.663033
0.649700	0.667227
0.659680	0.671800
0.669660	0.676772
0.679640	0.682168
0.689620	0.688016
0.699600	0.694345
0.709580	0.701191
0.719560	0.708593
0.729540	0.716595
0.739520	0.725250
0.749500	0.734616
0.759480	0.744760
0.769460	0.755760
0.779440	0.767707
0.789420	0.780706
0.799400	0.794882
0.809380	0.810382
0.819360	0.827381
0.829340	0.846093
0.839320	0.866773
0.849300	0.889740
0.859280	0.915387
0.869260	0.944215
0.879240	0.976866
0.889220	1.014180
0.899200	1.057284
0.909180	1.107731
0.919160	1.167727
0.929140	1.240535
0.939120	1.331227
0.949100	1.448222
0.959080	1.606774
0.969060	1.838293
0.979040	2.222052
0.989020	3.054544
