X	f(X)
0.001000	12.609356
0.010980	3.786384
0.020960	2.726861
0.030940	2.233219
0.040920	1.932220
0.050900	1.723846
0.060880	1.568386
0.070860	1.446513
0.080840	1.347543
0.090820	1.265022
0.100800	1.194789
0.110780	1.134028
0.120760	1.080751
0.130740	1.033513
0.140720	0.991232
0.150700	0.953080
0.160680	0.918413
0.170660	0.886719
0.180640	0.857586
0.190620	0.830679
0.200600	0.805721
0.210580	0.782483
0.220560	0.760769
0.230540	0.740416
0.240520	0.721284
0.250500	0.703252
0.260480	0.686215
0.270460	0.670083
0.280440	0.654777
0.290420	0.640225
0.300400	0.626367
0.310380	0.613148
0.320360	0.600517
0.330340	0.588433
0.340320	0.576855
0.350300	0.565748
0.360280	0.555081
0.370260	0.544823
0.380240	0.534950
0.390220	0.525436
0.400200	0.516261
0.410180	0.507403
0.420160	0.498846
0.430140	0.490571
0.440120	0.482563
0.450100	0.474808
0.460080	0.467292
0.470060	0.460004
0.480040	0.452931
0.490020	0.446063
0.500000	0.439391
0.509980	0.432905
0.519960	0.426596
0.529940	0.420457
0.539920	0.414480
0.549900	0.408657
0.559880	0.402983
0.569860	0.397450
0.579840	0.392053
0.589820	0.386788
0.599800	0.381647
0.609780	0.376627
0.619760	0.371723
0.629740	0.366930
0.639720	0.362244
0.649700	0.357662
0.659680	0.353180
0.669660	0.348793
0.679640	0.344500
0.689620	0.340295
0.699600	0.336178
0.709580	0.332144
0.719560	0.328191
0.729540	0.324316
0.739520	0.320516
0.749500	0.316791
0.759480	0.313136
0.769460	0.309550
0.779440	0.306031
0.789420	0.302577
0.799400	0.299185
0.809380	0.295855
0.819360	0.292584
0.829340	0.289371
0.839320	0.286214
0.849300	0.283111
0.859280	0.280061
0.869260	0.277063
0.879240	0.274114
0.889220	0.271215
0.899200	0.268363
0.909180	0.265558
0.919160	0.262798
0.929140	0.260081
0.939120	0.257408
0.949100	0.254777
0.959080	0.252186
0.969060	0.249635
0.979040	0.247123
0.989020	0.244650
