X	f(X)
-4.000000	0.000000
-3.920000	0.000000
-3.840000	0.000000
-3.760000	0.000000
-3.680000	0.000000
-3.600000	0.000000
-3.520000	0.000000
-3.440000	0.000000
-3.360000	0.000000
-3.280000	0.000000
-3.200000	0.000000
-3.120000	0.000000
-3.040000	0.000000
-2.960000	0.000000
-2.880000	0.000000
-2.800000	0.000000
-2.720000	0.000000
-2.640000	0.000001
-2.560000	0.000002
-2.480000	0.000004
-2.400000	0.000008
-2.320000	0.000017
-2.240000	0.000035
-2.160000	0.000071
-2.080000	0.000139
-2.000000	0.000268
-1.920000	0.000501
-1.840000	0.000915
-1.760000	0.001627
-1.680000	0.002821
-1.600000	0.004768
-1.520000	0.007855
-1.440000	0.012613
-1.360000	0.019742
-1.280000	0.030119
-1.200000	0.044789
-1.120000	0.064921
-1.040000	0.091722
-0.960000	0.126313
-0.880000	0.169553
-0.800000	0.221842
-0.720000	0.282920
-0.640000	0.351695
-0.560000	0.426138
-0.480000	0.503289
-0.400000	0.579383
-0.320000	0.650125
-0.240000	0.711065
-0.160000	0.758061
-0.080000	0.787737
0.000000	0.797885
0.080000	0.787737
0.160000	0.758061
0.240000	0.711065
0.320000	0.650125
0.400000	0.579383
0.480000	0.503289
0.560000	0.426138
0.640000	0.351695
0.720000	0.282920
0.800000	0.221842
0.880000	0.169553
0.960000	0.126313
1.040000	0.091722
1.120000	0.064921
1.200000	0.044789
1.280000	0.030119
1.360000	0.019742
1.440000	0.012613
1.520000	0.007855
1.600000	0.004768
1.680000	0.002821
1.760000	0.001627
1.840000	0.000915
1.920000	0.000501
2.000000	0.000268
2.080000	0.000139
2.160000	0.000071
2.240000	0.000035
2.320000	0.000017
2.400000	0.000008
2.480000	0.000004
2.560000	0.000002
2.640000	0.000001
2.720000	0.000000
2.800000	0.000000
2.880000	0.000000
2.960000	0.000000
3.040000	0.000000
3.120000	0.000000
3.200000	0.000000
3.280000	0.000000
3.360000	0.000000
3.440000	0.000000
3.520000	0.000000
3.600000	0.000000
3.680000	0.000000
3.760000	0.000000
3.840000	0.000000
3.920000	0.000000
