TF	MotifName	Length	ConsensusScore
Arnt	MA0004.1	6	1.147800e+01
Ahr::Arnt	MA0006.1	6	1.059102e+01
Ddit3::Cebpa	MA0019.1	12	1.657001e+01
Mecom	MA0029.1	14	2.214280e+01
FOXF2	MA0030.1	14	1.945110e+01
FOXD1	MA0031.1	8	1.390858e+01
Foxq1	MA0040.1	11	1.741526e+01
IRF2	MA0051.1	18	2.574652e+01
MAX::MYC	MA0059.1	11	1.767753e+01
PPARG	MA0066.1	20	2.978693e+01
PAX6	MA0069.1	14	2.073319e+01
PBX1	MA0070.1	12	1.866050e+01
RORA	MA0071.1	10	1.588206e+01
RORA	MA0072.1	14	2.029145e+01
RREB1	MA0073.1	20	2.836072e+01
RXRA::VDR	MA0074.1	15	2.369210e+01
SOX9	MA0077.1	9	1.383775e+01
SRY	MA0084.1	9	1.287561e+01
TAL1::TCF3	MA0091.1	12	1.764147e+01
Hand1::Tcf3	MA0092.1	10	1.408989e+01
REL	MA0101.1	10	1.462261e+01
RELA	MA0107.1	10	1.709049e+01
TBP	MA0108.2	15	1.625177e+01
Spz1	MA0111.1	11	1.691451e+01
NR1H2::RXRA	MA0115.1	17	3.110979e+01
Znf423	MA0116.1	15	2.038483e+01
NFIC::TLX1	MA0119.1	14	2.289990e+01
Nobox	MA0125.1	8	1.237074e+01
ZNF354C	MA0130.1	6	1.003001e+01
Lhx3	MA0135.1	13	2.011826e+01
CTCF	MA0139.1	19	2.611313e+01
Pou5f1::Sox2	MA0142.1	15	2.297559e+01
EWSR1-FLI1	MA0149.1	18	3.525103e+01
REST	MA0138.2	21	3.374898e+01
Runx1	MA0002.2	11	1.569357e+01
Pparg::Rxra	MA0065.2	15	2.064696e+01
Arid3a	MA0151.1	6	1.080931e+01
INSM1	MA0155.1	12	1.883349e+01
RARA::RXRA	MA0159.1	17	2.344436e+01
PLAG1	MA0163.1	14	2.377775e+01
Nr2e3	MA0164.1	7	1.287296e+01
ARNT::HIF1A	MA0259.1	8	1.181741e+01
Tfcp2l1	MA0145.2	14	1.865005e+01
Zfx	MA0146.2	14	1.813317e+01
DUX4	MA0468.1	11	1.790283e+01
FOS	MA0476.1	11	1.587936e+01
FOSL2	MA0478.1	11	1.654080e+01
FOXH1	MA0479.1	11	1.626657e+01
Gfi1B	MA0483.1	11	1.743057e+01
JUN	MA0488.1	13	1.957108e+01
JUND	MA0492.1	15	1.987347e+01
Nr1h3::Rxra	MA0494.1	19	2.315868e+01
MEF2C	MA0497.1	15	2.006556e+01
MAF::NFE2	MA0501.1	15	2.355809e+01
NR2C2	MA0504.1	15	2.260248e+01
Sox6	MA0515.1	10	1.552933e+01
STAT1::STAT2	MA0517.1	15	2.254090e+01
Stat4	MA0518.1	14	1.825905e+01
Stat5a::Stat5b	MA0519.1	11	1.695219e+01
Stat6	MA0520.1	15	1.929693e+01
TCF7L2	MA0523.1	14	1.881279e+01
ZBTB33	MA0527.1	15	2.087746e+01
ELK4	MA0076.2	11	1.685777e+01
ESR2	MA0258.2	15	2.059376e+01
Nfe2l2	MA0150.2	15	2.270081e+01
STAT1	MA0137.3	11	1.770372e+01
STAT3	MA0144.2	11	1.677863e+01
GATA1::TAL1	MA0140.2	18	2.067403e+01
Bach1::Mafk	MA0591.1	15	2.310893e+01
FOXP2	MA0593.1	11	1.656444e+01
SREBF1	MA0595.1	10	1.616611e+01
SREBF2	MA0596.1	10	1.652385e+01
KLF5	MA0599.1	10	1.554367e+01
Arid3b	MA0601.1	11	1.539413e+01
Arid5a	MA0602.1	14	1.657986e+01
Arntl	MA0603.1	10	1.465645e+01
Atf1	MA0604.1	8	1.326885e+01
Creb3l2	MA0608.1	9	1.544351e+01
DMRT3	MA0610.1	11	1.586575e+01
FOXG1	MA0613.1	8	1.428373e+01
Foxj2	MA0614.1	8	1.380786e+01
Gmeb1	MA0615.1	17	1.489080e+01
LBX1	MA0618.1	8	1.320998e+01
LIN54	MA0619.1	9	1.347852e+01
mix-a	MA0621.1	11	1.535973e+01
Mlxip	MA0622.1	8	1.374588e+01
Npas2	MA0626.1	10	1.404670e+01
POU6F1	MA0628.1	10	1.440856e+01
Rhox11	MA0629.1	17	1.921821e+01
SHOX	MA0630.1	8	1.099383e+01
Six3	MA0631.1	17	2.262469e+01
ALX3	MA0634.1	10	1.245017e+01
Ar	MA0007.3	17	2.453245e+01
BARHL2	MA0635.1	10	1.260293e+01
BHLHE41	MA0636.1	10	1.784123e+01
CREB3	MA0638.1	14	2.104896e+01
DBP	MA0639.1	12	1.685384e+01
ELF4	MA0641.1	12	2.057389e+01
EN1	MA0027.2	8	1.202029e+01
Esrrg	MA0643.1	10	1.665105e+01
ETV6	MA0645.1	10	1.599973e+01
FLI1	MA0475.2	10	1.661769e+01
FOXI1	MA0042.2	7	1.332058e+01
FOXL1	MA0033.2	7	1.236472e+01
GCM1	MA0646.1	11	1.788401e+01
GRHL1	MA0647.1	12	1.944383e+01
GSC	MA0648.1	10	1.360586e+01
HEY2	MA0649.1	10	1.581307e+01
HINFP	MA0131.2	12	1.785809e+01
HNF1A	MA0046.2	15	2.213688e+01
HNF1B	MA0153.2	13	2.153078e+01
HSF1	MA0486.2	13	2.227037e+01
IRF8	MA0652.1	14	2.514509e+01
IRF9	MA0653.1	15	2.786837e+01
ISX	MA0654.1	8	1.222904e+01
JDP2	MA0655.1	9	1.694723e+01
JDP2	MA0656.1	12	2.037641e+01
KLF13	MA0657.1	18	2.825686e+01
LHX6	MA0658.1	10	1.481506e+01
MEF2B	MA0660.1	12	2.070431e+01
MEOX1	MA0661.1	10	1.345699e+01
MIXL1	MA0662.1	10	1.136680e+01
MLX	MA0663.1	10	1.774466e+01
MLXIPL	MA0664.1	10	1.632612e+01
MSC	MA0665.1	10	1.819470e+01
MYF6	MA0667.1	10	1.778099e+01
NEUROG2	MA0669.1	10	1.712656e+01
NFIA	MA0670.1	10	1.352194e+01
NFIX	MA0671.1	9	1.084331e+01
NHLH1	MA0048.2	10	1.701773e+01
NKX2-3	MA0672.1	10	1.429071e+01
NKX2-8	MA0673.1	9	1.276862e+01
