Ref:A	HomoRef	HetRefTs	HetRefTv1	HetRefTv2	HomoTs	HetTsTv1	HetTsTv2	HomoTv1	HetTv1Tv2	HomoTv2
HomoRef	5354	1	0	0	0	0	0	0	0	0	
HetRefTs	4	315	1	0	7	0	0	0	0	0	
HetRefTv1	2	0	101	0	0	0	0	0	0	0	
HetRefTv2	7	0	0	84	0	0	0	0	0	0	
HomoTs	0	0	0	0	0	0	0	0	0	0	
HetTsTv1	0	0	0	0	0	2	0	0	0	0	
HetTsTv2	0	0	0	0	0	0	5	0	0	0	
HomoTv1	0	0	0	0	0	0	0	0	0	0	
HetTv1Tv2	0	0	0	0	0	0	0	0	1	0	
HomoTv2	0	0	0	0	0	0	0	0	0	0	
Ref:C	HomoRef	HetRefTs	HetRefTv1	HetRefTv2	HomoTs	HetTsTv1	HetTsTv2	HomoTv1	HetTv1Tv2	HomoTv2
HomoRef	3650	1	1	0	0	0	0	0	0	0	
HetRefTs	2	241	0	0	5	0	0	0	0	0	
HetRefTv1	6	0	82	0	0	0	0	0	0	0	
HetRefTv2	2	0	0	64	0	0	0	0	0	0	
HomoTs	0	0	0	0	0	0	0	0	0	0	
HetTsTv1	0	0	0	0	0	2	0	0	0	0	
HetTsTv2	0	0	0	0	0	0	1	0	0	0	
HomoTv1	0	0	0	0	0	0	0	0	0	0	
HetTv1Tv2	0	0	0	0	0	0	0	0	0	0	
HomoTv2	0	0	0	0	0	0	0	0	0	0	
Ref:G	HomoRef	HetRefTs	HetRefTv1	HetRefTv2	HomoTs	HetTsTv1	HetTsTv2	HomoTv1	HetTv1Tv2	HomoTv2
HomoRef	3679	1	1	0	0	0	0	0	0	0	
HetRefTs	5	217	0	0	1	0	0	0	0	0	
HetRefTv1	1	0	67	0	0	0	0	0	0	0	
HetRefTv2	3	0	0	73	0	0	0	0	0	0	
HomoTs	0	0	0	0	0	0	0	0	0	0	
HetTsTv1	0	0	0	0	0	2	0	0	0	0	
HetTsTv2	0	0	0	0	0	0	0	0	0	0	
HomoTv1	0	0	0	0	0	0	0	0	0	0	
HetTv1Tv2	0	0	0	0	0	0	0	0	1	0	
HomoTv2	0	0	0	0	0	0	0	0	0	0	
Ref:T	HomoRef	HetRefTs	HetRefTv1	HetRefTv2	HomoTs	HetTsTv1	HetTsTv2	HomoTv1	HetTv1Tv2	HomoTv2
HomoRef	5281	2	1	1	0	0	0	0	0	0	
HetRefTs	3	275	0	0	2	0	0	0	0	0	
HetRefTv1	2	2	91	0	0	0	0	0	0	0	
HetRefTv2	0	0	0	107	0	0	0	0	0	0	
HomoTs	0	0	0	0	0	0	0	0	0	0	
HetTsTv1	0	0	0	0	0	3	0	0	0	0	
HetTsTv2	0	0	0	0	0	0	2	0	0	0	
HomoTv1	0	0	0	0	0	0	0	0	0	0	
HetTv1Tv2	0	0	0	0	0	0	0	0	1	0	
HomoTv2	0	0	0	0	0	0	0	0	0	0	

matrixTotal	correctTotal	trueNegative	falseNegative	falsePositive	misclassified	Accuracy	Inaccuracy	Recall	Precision	MisclassificaitonRate	FalseVariantRate	falseReferenceRate
19765	19701	17964	9	37	18	9.967620e-01	3.238047e-03	9.846939e-01	9.693080e-01	1.025641e-02	2.055441e-03	5.007511e-04
