Iteration	Mu	Sigma	Accept
0	-5.000000e+00	1.000000e-01	false
1	-5.000000e+00	1.000000e-01	false
2	-5.000000e+00	1.000000e-01	false
3	-5.000000e+00	1.000000e-01	false
4	-5.000000e+00	1.000000e-01	false
5	-5.000000e+00	1.000000e-01	false
6	-5.000000e+00	1.000000e-01	false
7	-5.000000e+00	1.000000e-01	false
8	-5.000000e+00	1.000000e-01	false
9	-5.000000e+00	1.000000e-01	false
10	-5.000000e+00	1.000000e-01	false
11	-5.000000e+00	1.000000e-01	false
12	-5.000000e+00	1.000000e-01	false
13	-5.000000e+00	1.000000e-01	false
14	-5.000000e+00	1.000000e-01	false
15	-5.000000e+00	1.000000e-01	false
16	-5.000000e+00	1.000000e-01	false
17	-5.000000e+00	1.000000e-01	false
18	-5.000000e+00	1.000000e-01	false
19	-5.000000e+00	1.000000e-01	false
20	-5.000000e+00	1.000000e-01	false
21	-5.038028e+00	7.668925e-02	true
22	-5.038028e+00	7.668925e-02	false
23	-5.038028e+00	7.668925e-02	false
24	-5.038028e+00	7.668925e-02	false
25	-5.038028e+00	7.668925e-02	false
26	-5.038028e+00	7.668925e-02	false
27	-5.038028e+00	7.668925e-02	false
28	-5.038028e+00	7.668925e-02	false
29	-5.038028e+00	7.668925e-02	false
30	-5.038028e+00	7.668925e-02	false
31	-5.038028e+00	7.668925e-02	false
32	-5.038028e+00	7.668925e-02	false
33	-5.038028e+00	7.668925e-02	false
34	-5.038028e+00	7.668925e-02	false
35	-5.038028e+00	7.668925e-02	false
36	-5.038028e+00	7.668925e-02	false
37	-5.038028e+00	7.668925e-02	false
38	-5.038028e+00	7.668925e-02	false
39	-5.038028e+00	7.668925e-02	false
40	-5.038028e+00	7.668925e-02	false
41	-5.038028e+00	7.668925e-02	false
42	-5.038028e+00	7.668925e-02	false
43	-5.038028e+00	7.668925e-02	false
44	-5.038028e+00	7.668925e-02	false
45	-5.038028e+00	7.668925e-02	false
46	-5.038028e+00	7.668925e-02	false
47	-5.038028e+00	7.668925e-02	false
48	-5.038028e+00	7.668925e-02	false
49	-5.038028e+00	7.668925e-02	false
50	-5.038028e+00	7.668925e-02	false
51	-5.038028e+00	7.668925e-02	false
52	-5.038028e+00	7.668925e-02	false
53	-5.038028e+00	7.668925e-02	false
54	-5.038028e+00	7.668925e-02	false
55	-5.038028e+00	7.668925e-02	false
56	-5.038028e+00	7.668925e-02	false
57	-5.038028e+00	7.668925e-02	false
58	-5.038028e+00	7.668925e-02	false
59	-5.038028e+00	7.668925e-02	false
60	-5.038028e+00	7.668925e-02	false
61	-5.038028e+00	7.668925e-02	false
62	-5.038028e+00	7.668925e-02	false
63	-5.038028e+00	7.668925e-02	false
64	-5.018277e+00	1.750852e-01	true
65	-5.018277e+00	1.750852e-01	false
66	-5.018277e+00	1.750852e-01	false
67	-4.778451e+00	3.819075e-01	true
68	-5.094856e+00	4.934065e-01	true
69	-5.094856e+00	4.934065e-01	false
70	-5.094856e+00	4.934065e-01	false
71	-5.094856e+00	4.934065e-01	false
72	-5.094856e+00	4.934065e-01	false
73	-5.094856e+00	4.934065e-01	false
74	-5.094856e+00	4.934065e-01	false
75	-5.094856e+00	4.934065e-01	false
76	-5.094856e+00	4.934065e-01	false
77	-5.094856e+00	4.934065e-01	false
78	-5.094856e+00	4.934065e-01	false
79	-5.094856e+00	4.934065e-01	false
80	-5.094856e+00	4.934065e-01	false
81	-5.094856e+00	4.934065e-01	false
82	-5.380887e+00	4.850169e-01	true
83	-5.380887e+00	4.850169e-01	false
84	-5.380887e+00	4.850169e-01	false
85	-5.380887e+00	4.850169e-01	false
86	-5.380887e+00	4.850169e-01	false
87	-5.380887e+00	4.850169e-01	false
88	-5.380887e+00	4.850169e-01	false
89	-5.380887e+00	4.850169e-01	false
90	-5.380887e+00	4.850169e-01	false
91	-5.380887e+00	4.850169e-01	false
92	-5.380887e+00	4.850169e-01	false
93	-5.380887e+00	4.850169e-01	false
94	-5.380887e+00	4.850169e-01	false
95	-5.380887e+00	4.850169e-01	false
96	-5.380887e+00	4.850169e-01	false
97	-5.380887e+00	4.850169e-01	false
98	-5.380887e+00	4.850169e-01	false
99	-5.380887e+00	4.850169e-01	false
