Iteration	Mu	Sigma	Accept
0	-5.000000e+00	1.000000e-01	false
1	-5.000000e+00	1.000000e-01	false
2	-5.000000e+00	1.000000e-01	false
3	-4.924087e+00	1.137295e-01	true
4	-4.924087e+00	1.137295e-01	false
5	-4.876886e+00	1.886492e-01	true
6	-5.080812e+00	1.292472e-01	true
7	-5.080812e+00	1.292472e-01	false
8	-5.080812e+00	1.292472e-01	false
9	-4.814075e+00	1.219307e-01	true
10	-4.783365e+00	1.936200e-02	true
11	-4.780819e+00	8.003553e-02	true
12	-4.780819e+00	8.003553e-02	false
13	-4.988627e+00	1.491016e-01	true
14	-4.988627e+00	1.491016e-01	false
15	-4.988627e+00	1.491016e-01	false
16	-4.988627e+00	1.491016e-01	false
17	-5.193225e+00	8.114144e-02	true
18	-5.193225e+00	8.114144e-02	false
19	-5.239709e+00	9.163540e-02	true
20	-5.104312e+00	1.048378e-01	true
21	-5.077815e+00	4.061494e-02	true
22	-5.354784e+00	3.100714e-02	true
23	-5.186588e+00	2.025267e-01	true
24	-5.319239e+00	2.408191e-01	true
25	-4.950674e+00	3.081770e-01	true
26	-5.165270e+00	3.419756e-01	true
27	-5.074518e+00	3.365673e-01	true
28	-5.158691e+00	3.144931e-01	true
29	-5.034788e+00	3.122780e-01	true
30	-5.260643e+00	1.585420e-01	true
31	-5.407460e+00	1.349767e-01	true
32	-5.407460e+00	1.349767e-01	false
33	-5.461433e+00	3.063228e-01	true
34	-5.461433e+00	3.063228e-01	false
35	-5.493010e+00	2.742513e-01	true
36	-5.370909e+00	3.772945e-01	true
37	-5.102860e+00	2.530876e-01	true
38	-5.102860e+00	2.530876e-01	false
39	-5.030834e+00	3.070878e-01	true
40	-5.259436e+00	3.369610e-01	true
41	-5.259436e+00	3.369610e-01	false
42	-5.189982e+00	3.527036e-01	true
43	-4.783940e+00	1.208893e-01	true
44	-4.783940e+00	1.208893e-01	false
45	-4.746149e+00	1.581105e-01	true
46	-5.017470e+00	2.762200e-01	true
47	-4.973783e+00	3.157057e-01	true
48	-5.036864e+00	3.854892e-01	true
49	-5.075337e+00	4.760380e-01	true
50	-5.002056e+00	4.354303e-01	true
51	-4.926687e+00	2.767683e-01	true
52	-5.032147e+00	3.151667e-01	true
53	-4.975825e+00	3.097989e-01	true
54	-5.180768e+00	2.754038e-01	true
55	-5.287967e+00	2.049004e-01	true
56	-5.287967e+00	2.049004e-01	false
57	-4.868549e+00	1.771327e-01	true
58	-5.075505e+00	1.555333e-01	true
59	-5.018652e+00	1.905140e-01	true
60	-4.979786e+00	2.294863e-01	true
61	-4.788195e+00	1.679659e-01	true
62	-4.369339e+00	2.366362e-01	true
63	-4.369339e+00	2.366362e-01	false
64	-4.221852e+00	2.214439e-01	true
65	-4.126508e+00	3.074334e-01	true
66	-3.954270e+00	1.463553e-01	true
67	-3.954270e+00	1.463553e-01	false
68	-3.954270e+00	1.463553e-01	false
69	-4.038790e+00	2.867480e-01	true
70	-3.962204e+00	1.606865e-01	true
71	-4.152699e+00	1.792190e-01	true
72	-4.358844e+00	1.976674e-01	true
73	-4.480032e+00	7.340573e-03	true
74	-4.298254e+00	8.464707e-02	true
75	-4.221683e+00	1.174748e-01	true
76	-4.285931e+00	1.399659e-01	true
77	-4.270179e+00	1.904761e-01	true
78	-4.204517e+00	7.709909e-02	true
79	-4.204517e+00	7.709909e-02	false
80	-4.204517e+00	7.709909e-02	false
81	-4.420766e+00	1.449524e-01	true
82	-4.420766e+00	1.449524e-01	false
83	-4.280645e+00	9.559621e-02	true
84	-4.261345e+00	1.623988e-01	true
85	-4.204986e+00	9.481325e-03	true
86	-4.204986e+00	9.481325e-03	false
87	-4.204986e+00	9.481325e-03	false
88	-4.204986e+00	9.481325e-03	false
89	-4.074850e+00	2.466670e-02	true
90	-4.044681e+00	2.217612e-02	true
91	-4.044681e+00	2.217612e-02	false
92	-3.970623e+00	4.284405e-02	true
93	-3.823163e+00	1.086538e-01	true
94	-3.823163e+00	1.086538e-01	false
95	-3.939174e+00	1.111913e-01	true
96	-3.939174e+00	1.111913e-01	false
97	-3.939174e+00	1.111913e-01	false
98	-3.918511e+00	2.601704e-01	true
99	-3.918511e+00	2.601704e-01	false
