##PopulationSize=1000:NumGeneration=500:Replicates=1:MutationRate=1e-09:RelativeFitness=2.00000
Gen	Site	Freq.A	Freq.C	Freq.G	Freq.T	Ancestral
0	0	0.25000	0.25000	0.25000	0.25000	A
1	0	0.27000	0.26100	0.24300	0.22600	A
2	0	0.26800	0.28200	0.22800	0.22200	A
3	0	0.25800	0.32400	0.20000	0.21800	A
4	0	0.26100	0.34000	0.19500	0.20400	A
5	0	0.27600	0.36200	0.18000	0.18200	A
6	0	0.25500	0.39300	0.19300	0.15900	A
7	0	0.25500	0.42000	0.17600	0.14900	A
8	0	0.24700	0.45700	0.16400	0.13200	A
9	0	0.24700	0.48600	0.14300	0.12400	A
10	0	0.24000	0.51500	0.12600	0.11900	A
11	0	0.22800	0.53100	0.12700	0.11400	A
12	0	0.24500	0.53000	0.11900	0.10600	A
13	0	0.24500	0.56800	0.10000	0.08700	A
14	0	0.23000	0.61200	0.08400	0.07400	A
15	0	0.23200	0.62900	0.07300	0.06600	A
16	0	0.23400	0.63700	0.06900	0.06000	A
17	0	0.21600	0.65400	0.07000	0.06000	A
18	0	0.18200	0.67800	0.07800	0.06200	A
19	0	0.18000	0.68800	0.07500	0.05700	A
20	0	0.16400	0.72400	0.05400	0.05800	A
21	0	0.15900	0.73600	0.03900	0.06600	A
22	0	0.14800	0.76300	0.03100	0.05800	A
23	0	0.13800	0.77700	0.03200	0.05300	A
24	0	0.12400	0.80100	0.03100	0.04400	A
25	0	0.11000	0.81200	0.02300	0.05500	A
26	0	0.10000	0.83600	0.01400	0.05000	A
27	0	0.08700	0.86300	0.01200	0.03800	A
28	0	0.07300	0.88100	0.00800	0.03800	A
29	0	0.06900	0.88300	0.00800	0.04000	A
30	0	0.08400	0.87300	0.00700	0.03600	A
31	0	0.08400	0.88800	0.00500	0.02300	A
32	0	0.09100	0.88800	0.00400	0.01700	A
33	0	0.10500	0.86800	0.00500	0.02200	A
34	0	0.11200	0.86100	0.00300	0.02400	A
35	0	0.11000	0.85900	0.00100	0.03000	A
36	0	0.10300	0.87400	0.00200	0.02100	A
37	0	0.11200	0.87000	0.00200	0.01600	A
38	0	0.10400	0.87900	0.00300	0.01400	A
39	0	0.11000	0.87300	0.00300	0.01400	A
