##PopulationSize=1000:NumGeneration=500:Replicates=1:MutationRate=1e-09:RelativeFitness=2.00000
Gen	Site	Freq.A	Freq.C	Freq.G	Freq.T	Ancestral
0	0	0.25000	0.25000	0.25000	0.25000	A
1	0	0.15400	0.29300	0.27900	0.27400	A
2	0	0.07400	0.34000	0.29400	0.29200	A
3	0	0.03500	0.37000	0.29300	0.30200	A
4	0	0.01400	0.36600	0.31000	0.31000	A
5	0	0.00500	0.38700	0.30200	0.30600	A
6	0	0.00000	0.38800	0.30100	0.31100	A
7	0	0.00000	0.38500	0.31700	0.29800	A
8	0	0.00000	0.38300	0.33200	0.28500	A
9	0	0.00000	0.38600	0.34300	0.27100	A
10	0	0.00000	0.37800	0.35600	0.26600	A
11	0	0.00000	0.37000	0.35500	0.27500	A
12	0	0.00000	0.39000	0.34300	0.26700	A
13	0	0.00000	0.40100	0.35500	0.24400	A
14	0	0.00000	0.39900	0.37000	0.23100	A
15	0	0.00000	0.38500	0.39000	0.22500	A
16	0	0.00000	0.38700	0.39200	0.22100	A
17	0	0.00000	0.37500	0.39400	0.23100	A
18	0	0.00000	0.37300	0.38000	0.24700	A
19	0	0.00000	0.38100	0.37800	0.24100	A
20	0	0.00000	0.38200	0.37800	0.24000	A
21	0	0.00000	0.39900	0.36700	0.23400	A
22	0	0.00000	0.39800	0.36100	0.24100	A
23	0	0.00000	0.39700	0.36800	0.23500	A
24	0	0.00000	0.38400	0.38700	0.22900	A
25	0	0.00000	0.37200	0.38700	0.24100	A
26	0	0.00000	0.38200	0.38700	0.23100	A
27	0	0.00000	0.39600	0.37300	0.23100	A
28	0	0.00000	0.38600	0.39400	0.22000	A
29	0	0.00000	0.37200	0.41600	0.21200	A
30	0	0.00000	0.40100	0.39700	0.20200	A
31	0	0.00000	0.39900	0.40600	0.19500	A
32	0	0.00000	0.42100	0.41400	0.16500	A
33	0	0.00000	0.42200	0.42500	0.15300	A
34	0	0.00000	0.41700	0.42900	0.15400	A
35	0	0.00000	0.39500	0.44600	0.15900	A
36	0	0.00000	0.41800	0.42600	0.15600	A
37	0	0.00000	0.42600	0.42600	0.14800	A
38	0	0.00000	0.42000	0.43400	0.14600	A
39	0	0.00000	0.40800	0.44000	0.15200	A
40	0	0.00000	0.41000	0.45400	0.13600	A
41	0	0.00000	0.41300	0.45500	0.13200	A
42	0	0.00000	0.42100	0.42400	0.15500	A
43	0	0.00000	0.43500	0.41700	0.14800	A
44	0	0.00000	0.42400	0.43400	0.14200	A
45	0	0.00000	0.46500	0.40900	0.12600	A
46	0	0.00000	0.45900	0.40300	0.13800	A
47	0	0.00000	0.48000	0.40900	0.11100	A
48	0	0.00000	0.44100	0.46300	0.09600	A
49	0	0.00000	0.42600	0.47100	0.10300	A
50	0	0.00000	0.45000	0.45200	0.09800	A
51	0	0.00000	0.48600	0.42500	0.08900	A
52	0	0.00000	0.48300	0.42000	0.09700	A
53	0	0.00000	0.46000	0.43400	0.10600	A
54	0	0.00000	0.45200	0.43500	0.11300	A
55	0	0.00000	0.44700	0.44200	0.11100	A
56	0	0.00000	0.45600	0.42200	0.12200	A
57	0	0.00000	0.45700	0.43300	0.11000	A
58	0	0.00000	0.48500	0.39900	0.11600	A
59	0	0.00000	0.46400	0.42200	0.11400	A
60	0	0.00000	0.46600	0.42400	0.11000	A
61	0	0.00000	0.47100	0.43800	0.09100	A
62	0	0.00000	0.46200	0.45900	0.07900	A
63	0	0.00000	0.45100	0.46600	0.08300	A
64	0	0.00000	0.45200	0.46800	0.08000	A
65	0	0.00000	0.43200	0.48600	0.08200	A
66	0	0.00000	0.43200	0.48300	0.08500	A
67	0	0.00000	0.44200	0.47400	0.08400	A
68	0	0.00000	0.43200	0.47700	0.09100	A
69	0	0.00000	0.44500	0.47000	0.08500	A
70	0	0.00000	0.44800	0.47200	0.08000	A
71	0	0.00000	0.43400	0.48700	0.07900	A
72	0	0.00000	0.42500	0.50600	0.06900	A
73	0	0.00000	0.39900	0.53800	0.06300	A
74	0	0.00000	0.40700	0.53100	0.06200	A
75	0	0.00000	0.42900	0.51900	0.05200	A
76	0	0.00000	0.40600	0.52700	0.06700	A
77	0	0.00000	0.38200	0.53700	0.08100	A
