BinDistance	R	P	Cutoff
0	1.9659999999998936	0.18799999999999972	33
1	2.3589999999998503	0.09999999999999964	60
2	3.597999999999714	0.20799999999999974	38
3	3.241999999999753	0.2649999999999998	26
4	3.069999999999772	0.30699999999999983	25
5	3.9629999999996737	0.43499999999999994	18
6	2.8119999999998004	0.3989999999999999	17
7	2.852999999999796	0.4169999999999999	19
8	2.9839999999997815	0.477	13
9	2.5139999999998333	0.45299999999999996	12
10	3.2359999999997537	0.556	11
11	3.8669999999996842	0.6010000000000001	12
12	7.573000000000863	0.7510000000000002	11
13	2.834999999999798	0.561	11
14	4.27099999999976	0.7150000000000002	10
15	4.021999999999677	0.7110000000000002	7
16	2.686999999999814	0.6120000000000001	8
17	5.029000000000013	0.7490000000000002	7
18	1.08999999999999	0.492	10
19	2.9659999999997835	0.6710000000000002	8
20	2.2779999999998592	0.6320000000000001	7
21	7.0540000000006895	0.8160000000000003	6
22	6.319000000000444	0.8080000000000003	6
23	3.63299999999971	0.7100000000000002	7
24	4.602999999999871	0.7980000000000003	7
25	1.9089999999998999	0.6560000000000001	7
26	1.3279999999999639	0.6250000000000001	7
27	1.354999999999961	0.5880000000000001	8
28	0.5089999999999996	0.522	7
29	2.961999999999784	0.7070000000000002	7
30	2.0749999999998816	0.6820000000000002	5
31	3.5739999999997165	0.7900000000000003	5
32	3.3579999999997403	0.7650000000000002	5
33	2.5549999999998287	0.7160000000000002	5
34	2.8019999999998015	0.7230000000000002	8
35	2.4589999999998393	0.7330000000000002	5
36	1.2669999999999706	0.5680000000000001	6
37	0.9329999999999999	0.6020000000000001	7
38	6.086000000000366	0.8640000000000003	5
39	12.841999999998322	0.9190000000000004	5
40	3.851999999999686	0.7960000000000003	5
41	1.0119999999999987	0.6100000000000001	7
42	1.5159999999999432	0.6930000000000002	7
43	2.1119999999998775	0.7610000000000002	5
44	0.001999999999999119	0.4099999999999999	2
