BinDistance	R	P	Cutoff
0	1.9659999999998936	0.18799999999999972	33
1	2.3589999999998503	0.09999999999999964	60
2	3.597999999999714	0.20799999999999974	38
3	3.241999999999753	0.2649999999999998	26
4	3.069999999999772	0.30699999999999983	25
5	3.9629999999996737	0.43499999999999994	18
6	2.8119999999998004	0.3989999999999999	17
7	2.852999999999796	0.4169999999999999	19
8	2.9839999999997815	0.477	13
9	2.5139999999998333	0.45299999999999996	12
10	3.2359999999997537	0.556	11
11	3.8669999999996842	0.6010000000000001	12
12	7.573000000000863	0.7510000000000002	11
13	2.834999999999798	0.561	11
14	4.27099999999976	0.7150000000000002	10
