Score	BinDistance.0.Count	BinDistance.1.Count	BinDistance.2.Count	BinDistance.3.Count	BinDistance.4.Count	BinDistance.5.Count	BinDistance.6.Count	BinDistance.7.Count	BinDistance.8.Count	BinDistance.9.Count	BinDistance.10.Count	BinDistance.11.Count	BinDistance.12.Count	BinDistance.13.Count	BinDistance.14.Count	BinDistance.15.Count	BinDistance.16.Count	BinDistance.17.Count	BinDistance.18.Count	BinDistance.19.Count	BinDistance.20.Count	BinDistance.21.Count	BinDistance.22.Count	BinDistance.23.Count	BinDistance.24.Count	BinDistance.25.Count	BinDistance.26.Count	BinDistance.27.Count	BinDistance.28.Count	BinDistance.29.Count	BinDistance.30.Count	BinDistance.31.Count	BinDistance.32.Count	BinDistance.33.Count	BinDistance.34.Count	BinDistance.35.Count	BinDistance.36.Count	BinDistance.37.Count	BinDistance.38.Count	BinDistance.39.Count	BinDistance.40.Count	BinDistance.41.Count	BinDistance.42.Count	BinDistance.43.Count	BinDistance.44.Count	BinDistance.45.Count	BinDistance.46.Count	BinDistance.47.Count	BinDistance.48.Count	BinDistance.49.Count	BinDistance.50.Count	BinDistance.51.Count	BinDistance.52.Count	BinDistance.53.Count	BinDistance.54.Count	BinDistance.55.Count	BinDistance.56.Count	BinDistance.57.Count	BinDistance.58.Count	BinDistance.59.Count	BinDistance.60.Count	BinDistance.61.Count	BinDistance.62.Count	BinDistance.63.Count	BinDistance.64.Count	BinDistance.65.Count	BinDistance.66.Count	BinDistance.67.Count	BinDistance.68.Count	BinDistance.69.Count	BinDistance.70.Count	BinDistance.71.Count	BinDistance.72.Count	BinDistance.73.Count	BinDistance.74.Count	BinDistance.75.Count	BinDistance.76.Count	BinDistance.77.Count	BinDistance.78.Count	BinDistance.79.Count	BinDistance.80.Count	BinDistance.81.Count	BinDistance.82.Count	BinDistance.83.Count	BinDistance.84.Count	BinDistance.85.Count	BinDistance.86.Count	BinDistance.87.Count	BinDistance.88.Count	BinDistance.89.Count	BinDistance.90.Count	BinDistance.91.Count	BinDistance.92.Count	BinDistance.93.Count	BinDistance.94.Count	BinDistance.95.Count	BinDistance.96.Count	BinDistance.97.Count	BinDistance.98.Count	BinDistance.99.Count	BinDistance.100.Count	BinDistance.101.Count	BinDistance.102.Count	BinDistance.103.Count	BinDistance.104.Count	BinDistance.105.Count	BinDistance.106.Count	BinDistance.107.Count	BinDistance.108.Count	BinDistance.109.Count	BinDistance.110.Count	BinDistance.111.Count	BinDistance.112.Count	BinDistance.113.Count	BinDistance.114.Count	BinDistance.115.Count	BinDistance.116.Count	BinDistance.117.Count	BinDistance.118.Count	BinDistance.119.Count	BinDistance.120.Count	BinDistance.121.Count	BinDistance.122.Count	BinDistance.123.Count	BinDistance.124.Count	BinDistance.125.Count	BinDistance.126.Count	BinDistance.127.Count	BinDistance.128.Count	BinDistance.129.Count	BinDistance.130.Count	BinDistance.131.Count	BinDistance.132.Count	BinDistance.133.Count	BinDistance.134.Count	BinDistance.135.Count	BinDistance.136.Count	BinDistance.137.Count	BinDistance.138.Count	BinDistance.139.Count	BinDistance.140.Count	BinDistance.141.Count	BinDistance.142.Count	BinDistance.143.Count	BinDistance.144.Count	BinDistance.145.Count	BinDistance.146.Count	BinDistance.147.Count	BinDistance.148.Count	BinDistance.149.Count	BinDistance.150.Count	BinDistance.151.Count	BinDistance.152.Count	BinDistance.153.Count	BinDistance.154.Count	BinDistance.155.Count	BinDistance.156.Count	BinDistance.157.Count	BinDistance.158.Count	BinDistance.159.Count	BinDistance.160.Count	BinDistance.161.Count	BinDistance.162.Count	BinDistance.163.Count	BinDistance.164.Count	BinDistance.165.Count	BinDistance.166.Count	BinDistance.167.Count	BinDistance.168.Count	BinDistance.169.Count	BinDistance.170.Count	BinDistance.171.Count	BinDistance.172.Count	BinDistance.173.Count	BinDistance.174.Count	BinDistance.175.Count	BinDistance.176.Count	BinDistance.177.Count	BinDistance.178.Count	BinDistance.179.Count	BinDistance.180.Count	BinDistance.181.Count	BinDistance.182.Count	BinDistance.183.Count	BinDistance.184.Count	BinDistance.185.Count	BinDistance.186.Count	BinDistance.187.Count	BinDistance.188.Count	BinDistance.189.Count	BinDistance.190.Count	BinDistance.191.Count	BinDistance.192.Count	BinDistance.193.Count	BinDistance.194.Count	BinDistance.195.Count	BinDistance.196.Count	BinDistance.197.Count	BinDistance.198.Count	BinDistance.199.Count	BinDistance.200.Count	BinDistance.201.Count	BinDistance.202.Count	BinDistance.203.Count	BinDistance.204.Count	BinDistance.205.Count	BinDistance.206.Count	BinDistance.207.Count	BinDistance.208.Count	BinDistance.209.Count	BinDistance.210.Count	BinDistance.211.Count	BinDistance.212.Count	BinDistance.213.Count	BinDistance.214.Count	BinDistance.215.Count	BinDistance.216.Count	BinDistance.217.Count	BinDistance.218.Count	BinDistance.219.Count	BinDistance.220.Count	BinDistance.221.Count	BinDistance.222.Count	BinDistance.223.Count	BinDistance.224.Count	BinDistance.225.Count	BinDistance.226.Count	BinDistance.227.Count	BinDistance.228.Count	BinDistance.229.Count	BinDistance.230.Count	BinDistance.231.Count	BinDistance.232.Count	BinDistance.233.Count	BinDistance.234.Count	BinDistance.235.Count	BinDistance.236.Count	BinDistance.237.Count	BinDistance.238.Count	BinDistance.239.Count	BinDistance.240.Count	BinDistance.241.Count	BinDistance.242.Count	BinDistance.243.Count	BinDistance.244.Count	BinDistance.245.Count	BinDistance.246.Count	BinDistance.247.Count	BinDistance.248.Count	BinDistance.249.Count	BinDistance.250.Count	BinDistance.251.Count	BinDistance.252.Count	BinDistance.253.Count	BinDistance.254.Count	BinDistance.255.Count	BinDistance.256.Count	BinDistance.257.Count	BinDistance.258.Count	BinDistance.259.Count	BinDistance.260.Count	BinDistance.261.Count	BinDistance.262.Count	BinDistance.263.Count	BinDistance.264.Count	BinDistance.265.Count	BinDistance.266.Count	BinDistance.267.Count	BinDistance.268.Count	BinDistance.269.Count	BinDistance.270.Count	BinDistance.271.Count	BinDistance.272.Count	BinDistance.273.Count	BinDistance.274.Count	BinDistance.275.Count	BinDistance.276.Count	BinDistance.277.Count	BinDistance.278.Count	BinDistance.279.Count	BinDistance.280.Count	BinDistance.281.Count	BinDistance.282.Count	BinDistance.283.Count	BinDistance.284.Count	BinDistance.285.Count	BinDistance.286.Count	BinDistance.287.Count	BinDistance.288.Count	BinDistance.289.Count	BinDistance.290.Count	BinDistance.291.Count	BinDistance.292.Count	BinDistance.293.Count	BinDistance.294.Count	BinDistance.295.Count	BinDistance.296.Count	BinDistance.297.Count	BinDistance.298.Count	BinDistance.299.Count	BinDistance.300.Count	BinDistance.301.Count	BinDistance.302.Count	BinDistance.303.Count	BinDistance.304.Count	BinDistance.305.Count	BinDistance.306.Count	BinDistance.307.Count	BinDistance.308.Count	BinDistance.309.Count	BinDistance.310.Count	BinDistance.311.Count	BinDistance.312.Count	BinDistance.313.Count
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	8	4	10	16	29	40	47	54	52	67	57	63	74	88	92	80	78	101	93	94	75	84	74	94	92	93	97	107	79	88	93	84	80	84	88	73	87	73	64	77	76	81	82	92	76	92	82	74	69	81	70	75	74	68	70	85	76	66	92	62	75	62	67	79	62	65	80	74	70	62	73	62	79	68	60	63	60	52	46	62	50	56	57	64	46	63	57	59	50	52	59	62	62	52	64	48	53	52	53	46	44	53	50	48	46	53	45	59	56	49	45	43	42	51	47	40	42	50	37	44	46	33	49	54	42	39	41	35	42	38	37	35	33	32	36	40	44	49	37	38	39	35	33	39	33	37	25	33	28	29	28	37	37	32	31	31	30	41	30	40	28	34	39	27	23	25	31	25	27	32	29	23	34	29	35	33	25	25	30	23	19	30	24	31	26	23	19	28	17	23	23	19	18	24	14	25	20	17	24	17	21	21	20	22	20	17	24	14	21	16	20	15	17	19	11	16	19	25	21	20	14	17	19	17	21	11	10	10	14	20	19	19	10	21	16	15	12	10	7	15	20	11	14	17	11	13	15	8	10	16	7	10	9	12	8	14	9	8	10	12	7	5	7	9	9	9	12	7	10	7	4	4	4	10	6	8	5	5	8	6	3	5	4	3	6	5	4	5	7	5	1	2	1	4	8	3	1	3	1	1	1	2	2	3	2	0	2	2	0	0	1	0	1
2	27	9	11	20	37	30	42	37	47	59	58	70	54	52	67	62	65	60	55	56	57	60	57	63	60	45	46	52	44	51	43	41	37	40	45	36	31	40	41	50	36	32	29	26	19	32	33	29	30	26	30	31	28	34	30	18	24	18	25	19	22	27	25	23	17	26	23	16	11	14	17	21	21	21	27	21	13	21	15	18	23	20	17	13	15	18	13	12	15	11	13	15	16	20	12	16	13	23	7	14	22	12	11	15	8	10	10	12	6	12	9	12	10	9	10	6	10	9	7	9	10	8	13	10	9	10	7	11	10	9	4	12	10	7	9	3	7	10	6	7	6	5	5	5	6	9	13	5	7	11	5	9	5	5	6	8	12	8	7	3	6	4	6	4	6	8	8	7	9	1	3	6	5	3	2	5	4	6	10	9	6	4	2	4	6	9	6	4	4	6	2	4	2	3	3	4	1	3	7	3	3	2	3	3	4	1	6	3	5	3	3	3	4	5	1	5	1	3	3	5	6	3	3	2	3	0	2	7	1	2	2	0	3	6	0	1	6	3	5	1	0	2	3	2	1	2	2	3	1	1	3	1	1	2	2	3	1	4	5	1	0	0	3	2	1	3	2	1	2	1	0	4	0	2	0	1	2	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0
3	20	4	6	21	19	38	37	33	45	44	44	41	45	44	48	39	35	35	31	34	26	34	31	23	26	22	16	20	9	22	16	19	21	16	22	17	15	9	9	12	16	10	15	14	13	9	13	13	14	13	10	14	6	10	12	12	5	6	10	10	6	6	8	5	7	11	8	7	6	9	8	3	4	6	2	5	5	5	4	3	5	6	8	4	6	2	2	4	4	3	0	3	2	4	5	2	4	2	6	1	4	2	2	1	3	3	1	5	3	3	3	1	3	2	0	3	2	4	2	1	5	1	2	1	2	0	2	2	2	1	1	0	1	7	3	2	0	0	0	0	3	4	1	2	2	0	1	0	0	1	0	1	1	0	1	0	1	1	2	1	0	1	1	1	1	3	0	1	1	0	0	1	2	1	0	0	1	0	2	0	0	0	1	1	0	0	3	1	2	3	3	0	0	1	1	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	1	1	0	1	1	1	1	1	2	1	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	1	1	0	1	1	0	0	0	2	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4	13	5	10	19	26	35	46	45	44	31	38	34	43	31	17	21	15	17	8	19	17	8	15	9	7	9	4	8	6	7	8	7	7	7	8	8	11	6	6	5	6	5	3	2	8	1	4	3	3	0	3	4	5	4	4	3	3	1	2	1	2	2	2	2	0	1	0	2	2	0	0	1	1	2	1	0	0	1	1	1	3	0	2	0	1	0	1	1	0	0	1	0	1	0	4	0	0	0	0	1	2	1	0	0	0	0	1	1	5	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	14	5	11	26	23	39	19	35	23	22	20	19	22	15	9	7	10	9	8	7	7	11	8	9	2	2	3	6	7	5	6	2	3	5	1	2	4	0	1	1	2	2	0	1	1	2	0	1	0	0	1	1	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	24	6	16	15	24	29	28	25	14	16	16	13	9	9	5	7	6	3	9	1	3	2	1	4	1	2	2	1	0	2	0	0	0	0	1	0	2	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	22	11	17	21	23	21	19	8	13	10	4	7	3	7	1	1	5	2	1	2	2	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	16	6	14	22	24	17	11	11	8	7	5	2	1	2	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	14	4	14	14	25	13	11	11	9	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
