Frequency	Probability
1	-2.020271e-02
2	-4.082199e-02
3	-6.187540e-02
4	-8.338161e-02
5	-1.053605e-01
6	-1.278334e-01
7	-1.508229e-01
8	-1.743534e-01
9	-1.984509e-01
10	-2.231436e-01
11	-2.484614e-01
12	-2.744368e-01
13	-3.011051e-01
14	-3.285041e-01
15	-3.566749e-01
16	-3.856625e-01
17	-4.155154e-01
18	-4.462871e-01
19	-4.780358e-01
20	-5.108256e-01
21	-5.447272e-01
22	-5.798185e-01
23	-6.161861e-01
24	-6.539265e-01
25	-6.931472e-01
26	-7.339692e-01
27	-7.765288e-01
28	-8.209806e-01
29	-8.675006e-01
30	-9.162907e-01
31	-9.675840e-01
32	-1.021651e+00
33	-1.078810e+00
34	-1.139434e+00
35	-1.203973e+00
36	-1.272966e+00
37	-1.347074e+00
38	-1.427116e+00
39	-1.514128e+00
40	-1.609438e+00
41	-1.714798e+00
42	-1.832581e+00
43	-1.966113e+00
44	-2.120264e+00
45	-2.302585e+00
46	-2.525729e+00
47	-2.813411e+00
48	-3.218876e+00
49	-3.912023e+00
