Frequency	Probability
1	-3.912023e+00
2	-3.218876e+00
3	-2.813411e+00
4	-2.525729e+00
5	-2.302585e+00
6	-2.120264e+00
7	-1.966113e+00
8	-1.832581e+00
9	-1.714798e+00
10	-1.609438e+00
11	-1.514128e+00
12	-1.427116e+00
13	-1.347074e+00
14	-1.272966e+00
15	-1.203973e+00
16	-1.139434e+00
17	-1.078810e+00
18	-1.021651e+00
19	-9.675840e-01
20	-9.162907e-01
21	-8.675006e-01
22	-8.209806e-01
23	-7.765288e-01
24	-7.339692e-01
25	-6.931472e-01
26	-6.539265e-01
27	-6.161861e-01
28	-5.798185e-01
29	-5.447272e-01
30	-5.108256e-01
31	-4.780358e-01
32	-4.462871e-01
33	-4.155154e-01
34	-3.856625e-01
35	-3.566749e-01
36	-3.285041e-01
37	-3.011051e-01
38	-2.744368e-01
39	-2.484614e-01
40	-2.231436e-01
41	-1.984509e-01
42	-1.743534e-01
43	-1.508229e-01
44	-1.278334e-01
45	-1.053605e-01
46	-8.338161e-02
47	-6.187540e-02
48	-4.082199e-02
49	-2.020271e-02
