Alpha	Likelihood
-9.000000e+00	-5.240531e+02
-8.142857e+00	-5.045423e+02
-7.285714e+00	-4.906975e+02
-6.428571e+00	-4.728262e+02
-5.571429e+00	-4.564573e+02
-4.714286e+00	-4.418953e+02
-3.857143e+00	-4.289052e+02
-3.000000e+00	-4.175820e+02
-2.142857e+00	-4.084107e+02
-1.285714e+00	-4.012931e+02
-4.285714e-01	-3.961132e+02
4.285714e-01	-3.928498e+02
1.285714e+00	-3.909644e+02
2.142857e+00	-3.899625e+02
3.000000e+00	-3.896478e+02
3.857143e+00	-3.897745e+02
4.714286e+00	-3.901150e+02
5.571429e+00	-3.905983e+02
6.428571e+00	-3.911354e+02
7.285714e+00	-3.917128e+02
8.142857e+00	-3.923002e+02
9.000000e+00	-3.928495e+02
