#geneName	tName	tChrom	tStart	tEnd	qName	qChrom	qStart	qEnd
ND5	hg38	chrM	12336	12337	panTro6	chrM	11754	11755
TRNQ	hg38	chrM	4399	4400	panTro6	chrM	3817	3818
CYTB	hg38	chrM	14746	14747	panTro6	chrM	14164	14165
TRNE	hg38	chrM	14741	14742	panTro6	chrM	14159	14160
TRNH	hg38	chrM	12137	12138	panTro6	chrM	11555	11556
ATP8	hg38	chrM	8365	8366	panTro6	chrM	7783	7784
COX2	hg38	chrM	7585	7586	panTro6	chrM	7002	7003
TRNC	hg38	chrM	5825	5826	panTro6	chrM	5243	5244
TRNL1	hg38	chrM	3229	3230	panTro6	chrM	2647	2648
TRNF	hg38	chrM	576	577	panTro6	chrM	0	1
TRNP	hg38	chrM	16022	16023	panTro6	chrM	15440	15441
TRNS2	hg38	chrM	12206	12207	panTro6	chrM	11624	11625
ND3	hg38	chrM	10058	10059	panTro6	chrM	9476	9477
TRNT	hg38	chrM	15887	15888	panTro6	chrM	15305	15306
TRNL2	hg38	chrM	12265	12266	panTro6	chrM	11683	11684
TRNI	hg38	chrM	4262	4263	panTro6	chrM	3680	3681
COX3	hg38	chrM	9206	9207	panTro6	chrM	8624	8625
TRNS1	hg38	chrM	7513	7514	panTro6	chrM	6930	6931
TRNK	hg38	chrM	8294	8295	panTro6	chrM	7712	7713
TRNY	hg38	chrM	5890	5891	panTro6	chrM	5308	5309
TRNA	hg38	chrM	5654	5655	panTro6	chrM	5072	5073
ND2	hg38	chrM	4469	4470	panTro6	chrM	3887	3888
TRNM	hg38	chrM	4401	4402	panTro6	chrM	3819	3820
ND1	hg38	chrM	3306	3307	panTro6	chrM	2724	2725
TRNR	hg38	chrM	10404	10405	panTro6	chrM	9822	9823
TRNG	hg38	chrM	9990	9991	panTro6	chrM	9408	9409
RNR1	hg38	chrM	647	648	panTro6	chrM	71	72
ND6	hg38	chrM	14672	14673	panTro6	chrM	14090	14091
ATP6	hg38	chrM	8526	8527	panTro6	chrM	7944	7945
COX1	hg38	chrM	5903	5904	panTro6	chrM	5320	5321
TRNN	hg38	chrM	5728	5729	panTro6	chrM	5146	5147
TRNW	hg38	chrM	5511	5512	panTro6	chrM	4929	4930
RNR2	hg38	chrM	1670	1671	panTro6	chrM	1089	1090
TRNV	hg38	chrM	1601	1602	panTro6	chrM	1020	1021
ND4	hg38	chrM	10759	10760	panTro6	chrM	10177	10178
TRND	hg38	chrM	7517	7518	panTro6	chrM	6934	6935
ND4L	hg38	chrM	10469	10470	panTro6	chrM	9887	9888
