NR_046018.2	DDX11L1
NR_024540.1	WASH7P
NR_106918.1	MIR6859-1
XR_007065314.1	MIR1302-2HG
NR_036051.1	MIR1302-2
NR_026818.1	FAM138A
XR_007065337.1	LOC124903816
XR_007065338.1	LOC124903816
XR_001737579.3	LOC124900384
XR_007065328.1	LOC124900384
XR_007065325.1	LOC124900384
XR_007065330.1	LOC124900384
XR_007065322.1	LOC124900384
XR_007065324.1	LOC124900384
XR_007065331.1	LOC124900384
XR_007065327.1	LOC124900384
XR_007065323.1	LOC124900384
XR_007065321.1	LOC124900384
XR_007065329.1	LOC124900384
XR_007065326.1	LOC124900384
XR_002958514.2	LOC124900384
NR_039983.2	LOC729737
XR_007065332.1	LOC124903814
XR_007065333.1	LOC124903814
XR_007065334.1	LOC124903814
NR_148357.1	DDX11L17
XR_007065318.1	LOC100996442
XR_007065335.1	LOC124903815
XR_007065336.1	LOC124903815
XR_002958507.2	LOC124900618
XM_047436352.1	LOC112268260
NR_028322.1	LOC100132287
RF00026	LOC124904706
XM_011542538.1	LOC105378947
NR_125957.1	LOC101928626
NR_162149.1	MIR12136
XM_024449992.2	OR4F16
XM_017002410.2	OR4F16
XM_017002408.2	OR4F16
XM_047431162.1	OR4F16
NR_168328.1	LOC100288069
XR_007065319.1	LINC01409
XR_007065320.1	LINC01409
XR_007065339.1	LOC124903817
NR_103536.1	FAM87B
NR_024321.1	LINC00115
NR_047519.1	LINC01128
NR_047521.1	LINC01128
NR_047523.1	LINC01128
NR_047524.1	LINC01128
NR_047526.1	LINC01128
NR_047525.1	LINC01128
XR_001737607.3	LOC107984850
XR_001737608.3	LOC107984850
NR_027055.1	FAM41C
XR_007065341.1	LOC284600
XR_007065344.1	LOC284600
XR_007065346.1	LOC284600
XR_007065340.1	LOC284600
XR_007065342.1	LOC284600
XR_007065343.1	LOC284600
XR_007065345.1	LOC284600
XR_007065347.1	LOC284600
NR_122045.1	LINC02593
NR_026874.2	LINC02593
NR_168405.1	LOC107985728
NM_001385640.1	SAMD11
NM_152486.4	SAMD11
XM_006710600.4	KLHL17
XM_006710601.4	KLHL17
XM_047419226.1	KLHL17
XM_047419224.1	KLHL17
XM_047419225.1	KLHL17
XM_011542248.3	PLEKHN1
XM_017002475.2	PLEKHN1
XM_017002474.2	PLEKHN1
NM_001367552.1	PLEKHN1
XM_047431794.1	PLEKHN1
NM_001160184.2	PLEKHN1
XM_017002478.3	PLEKHN1
XM_047431795.1	PLEKHN1
XM_017002479.2	PLEKHN1
NM_001291366.2	PERM1
NM_001291367.2	PERM1
NM_001394713.1	PERM1
NM_001369897.1	PERM1
NM_001369898.1	PERM1
XM_005244771.5	HES4
XM_047426320.1	HES4
XM_047426314.1	HES4
NM_001142467.2	HES4
NM_001305275.2	AGRN
XM_005244749.4	AGRN
XM_011541429.3	AGRN
XM_047419836.1	AGRN
NM_001364727.2	AGRN
XM_047419838.1	AGRN
XM_047419837.1	AGRN
NR_148960.1	LOC100288175
NR_168432.1	LOC105378948
NR_168433.1	LOC105378948
NM_001363525.2	C1orf159
NM_001330306.2	C1orf159
XR_007065349.1	LOC124903819
XR_007065351.1	LOC124903820
XR_007065350.1	LOC124903820
NR_038869.1	LINC01342
XR_007065348.1	LOC124903818
NR_029639.1	MIR200B
NR_029834.1	MIR200A
NR_029957.1	MIR429
NR_173246.1	TTLL10-AS1
XM_047416841.1	TTLL10
XM_017000906.2	TTLL10
XM_047416842.1	TTLL10
XM_047416843.1	TTLL10
NM_001371649.1	TTLL10
XM_047416870.1	TTLL10
XM_017000909.2	TTLL10
XM_017000910.3	TTLL10
XM_017000908.2	TTLL10
XM_017000907.2	TTLL10
XM_047416882.1	TTLL10
XM_017000912.2	TTLL10
XM_005244738.2	TTLL10
NM_153254.3	TTLL10
NM_148901.2	TNFRSF18
NM_148902.2	TNFRSF18
XM_017002722.3	TNFRSF18
XR_007063145.1	TNFRSF4
XM_011542075.3	TNFRSF4
XM_011542076.3	TNFRSF4
XM_011542074.3	TNFRSF4
XM_011542077.3	TNFRSF4
NM_016547.3	SDF4
XM_047422111.1	SDF4
XM_047422112.1	SDF4
XM_011541556.2	SDF4
XM_047419982.1	C1QTNF12
XM_011541437.2	C1QTNF12
XM_011541436.3	C1QTNF12
XM_011541435.3	C1QTNF12
XM_024446907.2	C1QTNF12
NM_194457.2	UBE2J2
XM_047444339.1	UBE2J2
NM_194315.2	UBE2J2
NM_194458.2	UBE2J2
XM_005244719.5	UBE2J2
XM_005244718.4	UBE2J2
XM_011540614.3	UBE2J2
XM_006710333.4	UBE2J2
XM_047444356.1	UBE2J2
XM_011540613.4	UBE2J2
XM_047444358.1	UBE2J2
XM_047444326.1	UBE2J2
XM_017000239.3	UBE2J2
NR_037668.3	SCNN1D
XM_005244715.3	ACAP3
XM_011540608.3	ACAP3
XM_011540609.3	ACAP3
XM_011540606.3	ACAP3
XM_024452993.2	ACAP3
XM_011540607.2	ACAP3
XM_005244717.4	ACAP3
NR_106784.1	MIR6726
NR_145806.1	SNORD167
NR_144369.2	PUSL1
NM_001346116.2	PUSL1
XM_024453057.2	PUSL1
XM_047444722.1	PUSL1
XM_047444716.1	PUSL1
XM_005244720.5	PUSL1
NM_001256463.2	INTS11
NM_001256460.2	INTS11
XM_011541647.2	INTS11
XM_011541648.2	INTS11
NM_001256462.2	INTS11
NM_001256456.2	INTS11
XM_011541650.3	INTS11
NR_106785.1	MIR6727
XM_011542200.3	CPTP
XM_005244801.5	CPTP
XM_017002435.2	TAS1R3
XM_017002436.2	TAS1R3
XM_047431571.1	TAS1R3
NM_004421.3	DVL1
XM_005244733.5	DVL1
XM_005244732.5	DVL1
XM_047448090.1	DVL1
NR_106866.1	MIR6808
NM_001282585.1	MXRA8
NM_001282582.2	MXRA8
