##PopulationSize=1000:NumGeneration=1000:Replicates=1:MutationRate=0.0001:RelativeFitness=1.02000
Gen	Site	Freq.A	Freq.C	Freq.G	Freq.T	Ancestral
0	0	1.00000	0.00000	0.00000	0.00000	A
1	0	1.00000	0.00000	0.00000	0.00000	A
2	0	1.00000	0.00000	0.00000	0.00000	A
3	0	1.00000	0.00000	0.00000	0.00000	A
4	0	1.00000	0.00000	0.00000	0.00000	A
5	0	0.99900	0.00000	0.00100	0.00000	A
6	0	0.99700	0.00000	0.00300	0.00000	A
7	0	0.99700	0.00000	0.00300	0.00000	A
8	0	0.99700	0.00000	0.00300	0.00000	A
9	0	0.99800	0.00000	0.00200	0.00000	A
10	0	0.99800	0.00000	0.00200	0.00000	A
11	0	1.00000	0.00000	0.00000	0.00000	A
12	0	1.00000	0.00000	0.00000	0.00000	A
13	0	1.00000	0.00000	0.00000	0.00000	A
14	0	1.00000	0.00000	0.00000	0.00000	A
15	0	1.00000	0.00000	0.00000	0.00000	A
16	0	0.99900	0.00000	0.00000	0.00100	A
17	0	0.99900	0.00000	0.00000	0.00100	A
18	0	0.99600	0.00000	0.00000	0.00400	A
19	0	0.99400	0.00000	0.00000	0.00600	A
20	0	0.99100	0.00000	0.00000	0.00900	A
21	0	0.99100	0.00000	0.00000	0.00900	A
22	0	0.98800	0.00000	0.00000	0.01200	A
23	0	0.98300	0.00000	0.00000	0.01700	A
24	0	0.98000	0.00000	0.00000	0.02000	A
25	0	0.98100	0.00000	0.00000	0.01900	A
26	0	0.97700	0.00000	0.00000	0.02300	A
27	0	0.97600	0.00000	0.00100	0.02300	A
28	0	0.98100	0.00000	0.00200	0.01700	A
29	0	0.97000	0.00000	0.00300	0.02700	A
30	0	0.97400	0.00000	0.00200	0.02400	A
31	0	0.98400	0.00000	0.00100	0.01500	A
32	0	0.98800	0.00000	0.00200	0.01000	A
33	0	0.99000	0.00000	0.00000	0.01000	A
34	0	0.98900	0.00000	0.00000	0.01100	A
35	0	0.98700	0.00000	0.00000	0.01300	A
36	0	0.98500	0.00000	0.00000	0.01500	A
37	0	0.98200	0.00000	0.00000	0.01800	A
38	0	0.98300	0.00000	0.00000	0.01700	A
39	0	0.98700	0.00000	0.00000	0.01300	A
40	0	0.98700	0.00000	0.00100	0.01200	A
41	0	0.98900	0.00000	0.00100	0.01000	A
42	0	0.98400	0.00000	0.00200	0.01400	A
43	0	0.97900	0.00000	0.00200	0.01900	A
44	0	0.97400	0.00000	0.00200	0.02400	A
45	0	0.96900	0.00000	0.00300	0.02800	A
46	0	0.98200	0.00000	0.00200	0.01600	A
47	0	0.97600	0.00000	0.00400	0.02000	A
48	0	0.98100	0.00000	0.00400	0.01500	A
49	0	0.97800	0.00000	0.00300	0.01900	A
50	0	0.97100	0.00000	0.00200	0.02700	A
51	0	0.97400	0.00000	0.00300	0.02300	A
52	0	0.97500	0.00000	0.00100	0.02400	A
53	0	0.97800	0.00000	0.00300	0.01900	A
54	0	0.97400	0.00000	0.00300	0.02300	A
55	0	0.97500	0.00000	0.00200	0.02300	A
56	0	0.96700	0.00000	0.00300	0.03000	A
57	0	0.97000	0.00000	0.00100	0.02900	A
58	0	0.97200	0.00000	0.00000	0.02800	A
59	0	0.97400	0.00000	0.00000	0.02600	A
60	0	0.97800	0.00000	0.00000	0.02200	A
61	0	0.98100	0.00000	0.00000	0.01900	A
62	0	0.98400	0.00000	0.00000	0.01600	A
63	0	0.98000	0.00000	0.00000	0.02000	A
64	0	0.97500	0.00000	0.00000	0.02500	A
65	0	0.97400	0.00000	0.00000	0.02600	A
66	0	0.96300	0.00100	0.00000	0.03600	A
67	0	0.96300	0.00000	0.00000	0.03700	A
68	0	0.96200	0.00000	0.00000	0.03800	A
69	0	0.96900	0.00000	0.00000	0.03100	A
70	0	0.96700	0.00000	0.00000	0.03300	A
71	0	0.96800	0.00000	0.00000	0.03200	A
72	0	0.96000	0.00000	0.00000	0.04000	A
73	0	0.95500	0.00000	0.00000	0.04500	A
74	0	0.94900	0.00000	0.00000	0.05100	A
75	0	0.93800	0.00000	0.00000	0.06200	A
76	0	0.93900	0.00000	0.00000	0.06100	A
77	0	0.95600	0.00000	0.00000	0.04400	A
78	0	0.95300	0.00000	0.00000	0.04700	A
79	0	0.95100	0.00000	0.00000	0.04900	A
80	0	0.95000	0.00000	0.00000	0.05000	A
81	0	0.94900	0.00000	0.00000	0.05100	A
82	0	0.94900	0.00100	0.00000	0.05000	A
83	0	0.95900	0.00000	0.00000	0.04100	A
84	0	0.95300	0.00000	0.00000	0.04700	A
85	0	0.94900	0.00000	0.00000	0.05100	A
86	0	0.95100	0.00000	0.00000	0.04900	A
87	0	0.95300	0.00000	0.00000	0.04700	A
88	0	0.95900	0.00000	0.00000	0.04100	A
89	0	0.95200	0.00000	0.00000	0.04800	A
